Date,Close,High,Low,Open,Volume
04-01-2010,85.76844025,85.81384656,84.39105974,85.04191044,118944600
05-01-2010,85.9954834,86.03332584,85.40517825,85.71547011,111579900
06-01-2010,86.05602264,86.26792645,85.84411884,85.9122283,116074400
07-01-2010,86.41929626,86.52524817,85.65492397,85.89710059,131091100
08-01-2010,86.70687103,86.74471347,86.01818369,86.19224505,126402800
11-01-2010,86.82797241,87.13068886,86.45713495,87.09285219,106375700
12-01-2010,86.01815796,86.43439579,85.68516308,86.25276484,163333500
13-01-2010,86.74473572,86.98691237,85.79873225,86.23767347,161822000
14-01-2010,86.97930908,87.13823691,86.5933382,86.64631414,115718800
15-01-2010,86.00305939,86.91122033,85.67006435,86.82797734,212283100
19-01-2010,87.07766724,87.13064316,85.96516698,85.9878759,139172700
20-01-2010,86.19224548,86.61605308,85.50355814,86.48739803,216490200
21-01-2010,84.53485107,86.47983359,84.42889917,86.21495383,344859600
22-01-2010,82.65039825,84.56510761,82.55957988,84.15643357,345942400
25-01-2010,83.07421875,83.55857773,82.80177513,83.40721374,186937500
26-01-2010,82.72610474,83.60399868,82.52177054,82.74880789,211168800
27-01-2010,83.11961365,83.30881426,81.98440998,82.62012126,271863600
28-01-2010,82.16606903,83.4374978,81.66658225,83.39209149,316104000
29-01-2010,81.27307129,83.09696924,81.14441617,82.52179736,310677600
01-02-2010,82.53688049,82.54445014,81.35627042,81.84819321,187865000
02-02-2010,83.53586578,83.69479363,82.40066193,82.6882506,216327900
03-02-2010,83.11961365,83.61153639,82.8774371,83.15745031,172730700
04-02-2010,80.55410004,82.51421672,80.53896075,82.47638004,356715700
05-02-2010,80.72055817,80.88704987,79.14640757,80.6448733,493585800
08-02-2010,80.13781738,81.22761485,80.0772718,80.78109836,224166900
09-02-2010,81.14435577,81.84818225,80.42539002,81.07624055,337820500
10-02-2010,80.98544312,81.43195385,80.30431966,81.01571591,240511500
11-02-2010,81.83307648,81.92389488,80.41028943,80.8795092,223591600
12-02-2010,81.7649765,81.81038282,80.60706912,80.97033124,304622100
16-02-2010,83.0515213,83.13477005,81.5984616,82.38553705,159317500
17-02-2010,83.44506073,83.55858228,83.05152012,83.4526246,168845100
18-02-2010,83.93700409,84.11106551,83.27858355,83.30885636,193708600
19-02-2010,84.11107635,84.43650184,83.520771,83.71754138,222684900
22-02-2010,84.12619019,84.44404593,83.87644391,84.42134277,132346900
23-02-2010,83.10448456,84.15643962,82.88501113,83.89912953,207497000
24-02-2010,83.86885834,84.00508303,83.14232858,83.35423237,176350700
25-02-2010,83.75535583,83.81590144,82.44609036,82.67312771,259634700
26-02-2010,83.80834198,84.09593074,83.33155829,83.83104514,173589300
01-03-2010,84.67864227,84.76189102,84.13374348,84.15644663,147709700
02-03-2010,84.91327667,85.3219509,84.76191841,85.04193754,160992400
03-03-2010,84.98892975,85.49598608,84.77702018,85.13271831,150785000
04-03-2010,85.24626923,85.36736045,84.78461904,85.10247484,135770400
05-03-2010,86.46471405,86.53282353,85.59438973,85.79872971,176118800
08-03-2010,86.47982025,86.66902088,86.32846206,86.47225638,114631200
09-03-2010,86.62363434,87.02473884,86.17712353,86.22252984,154556700
10-03-2010,87.00962067,87.24422769,86.58581294,86.66149206,186088800
11-03-2010,87.37288666,87.39559559,86.54040468,86.80528452,160791100
12-03-2010,87.38043976,87.76641076,87.13826312,87.75127147,162074800
15-03-2010,87.4031601,87.46370571,86.72960602,87.22909867,146816800
16-03-2010,88.09938049,88.18262345,87.40311782,87.64529438,168673000
17-03-2010,88.6215744,88.90916306,88.10694845,88.36426432,177468100
18-03-2010,88.57616425,88.75022559,88.22046615,88.62914019,196509100
19-03-2010,88.12782288,89.1309159,87.78585579,88.12782288,226641100
22-03-2010,88.59899139,88.75857955,87.57310146,87.62629558,184477800
23-03-2010,89.2220993,89.29809005,88.43937781,88.72815076,182941600
24-03-2010,88.78894806,89.23730336,87.83145413,88.88774126,196072600
25-03-2010,88.64459229,89.79966713,88.53820404,89.38930999,223396300
26-03-2010,88.59135437,89.22968352,88.24179234,88.81173157,205808500
29-03-2010,89.1537323,89.31331466,88.67498523,89.03974324,134513500
30-03-2010,89.21448517,89.54125055,88.84212651,89.26007845,145772500
31-03-2010,88.91055298,89.30570844,88.61418493,88.8725547,161078700
01-04-2010,89.51849365,89.86045501,88.98654668,89.51849365,161215200
05-04-2010,90.24798584,90.30877496,89.60965084,89.86042551,105847600
06-04-2010,90.46079254,90.6203749,89.89085308,89.9896405,110384200
07-04-2010,89.94403839,90.7039576,89.52608051,90.2784047,184576300
08-04-2010,90.25558472,90.40757201,89.3664808,89.63245132,158704000
09-04-2010,90.8483429,90.88633538,90.27840349,90.44558085,133006500
12-04-2010,90.99274445,91.22832339,90.85595873,90.96234698,110279000
13-04-2010,91.06109619,91.22067849,90.43036202,90.9015139,125043600
14-04-2010,92.09461975,92.09461975,91.25110888,91.3954896,161609000
15-04-2010,92.17060089,92.38337734,91.91222535,91.94262281,144615300
